Date,Event ID,Time,Class
2023-11-20,31244360,12:05,Maths: Year 7: 7a/MaI
2023-11-20,29937232,13:30,Year 7: 7TL
2023-11-20,31245234,14:00,Design Tech: Year 7: 7a/DTI
2023-11-21,29961572,08:40,Year 7: 7TL
2023-11-21,31247741,09:00,Spanish: Year 7: 7a/SpI
2023-11-21,31320018,09:55,PE Core: Year 7: 7a/PEY
2023-11-21,31237782,11:10,English Comb: Year 7: 7a/EnI
2023-11-21,31338080,12:05,Religious Ed: Year 7: 7a/RER
2023-11-21,29956003,13:30,Year 7: 7TL
2023-11-21,31242198,14:00,Maths: Year 7: 7a/MaI
2023-11-22,29975700,08:40,Year 7: 7TL
2023-11-22,31340488,09:00,Geography: Year 7: 7a/GeR
2023-11-22,31245625,09:55,English Comb: Year 7: 7a/EnI
2023-11-22,31343428,11:10,Religious Ed: Year 7: 7a/RER
2023-11-22,31344520,12:05,History: Year 7: 7a/HiR
2023-11-22,29986998,13:30,Year 7: 7TL
2023-11-22,31238679,14:00,Science: Year 7: 7a/ScI
2023-11-23,29987417,08:40,Year 7: 7TL
2023-11-23,31240450,09:00,Spanish: Year 7: 7a/SpI
2023-11-23,31339088,09:55,Music: Year 7: 7a/MuR
2023-11-23,31340600,11:10,History: Year 7: 7a/HiR
2023-11-23,31342364,12:05,Art and Design: Year 7: 7a/ArR
2023-11-23,30071454,13:30,Year 7: 7TL
2023-11-23,31248316,14:00,English Comb: Year 7: 7a/EnI
2023-11-24,29992382,08:40,Year 7: 7TL
2023-11-24,31335112,09:00,Religious Ed: Year 7: 7a/RER
2023-11-24,31337464,09:55,History: Year 7: 7a/HiR
2023-11-24,31241715,11:10,Maths: Year 7: 7a/MaI
2023-11-24,31243923,12:05,Design Tech: Year 7: 7a/DTI
2023-11-24,30071540,13:30,Year 7: 7TL
2023-11-24,31340292,14:00,Geography: Year 7: 7a/GeR
2023-11-27,29942220,08:40,Year 7: 7TL
2023-11-27,31246154,09:00,English Comb: Year 7: 7a/EnI
2023-11-27,31248776,09:55,Science: Year 7: 7a/ScI
2023-11-27,31336456,11:10,Art and Design: Year 7: 7a/ArR
2023-11-27,31338276,12:05,Computer Science: Year 7: 7a/CsR
2023-11-27,29948645,13:30,Year 7: 7TL
2023-11-27,31242658,14:00,Maths: Year 7: 7a/MaI
2023-11-28,29973798,08:40,Year 7: 7TL
2023-11-28,29860059,09:00,Year 7: 7TL
2023-11-28,31244820,09:55,Maths: Year 7: 7a/MaI
2023-11-28,31246499,11:10,Spanish: Year 7: 7a/SpI
2023-11-28,31343988,12:05,Music: Year 7: 7a/MuR
2023-11-28,29967241,13:30,Year 7: 7TL
2023-11-28,31238081,14:00,English Comb: Year 7: 7a/EnI
2023-11-29,29987097,08:40,Year 7: 7TL
2023-11-29,31239990,09:00,Maths: Year 7: 7a/MaI
2023-11-29,31243072,09:55,Science: Year 7: 7a/ScI
2023-11-29,31339648,11:10,History: Year 7: 7a/HiR
2023-11-29,31341832,12:05,Geography: Year 7: 7a/GeR
2023-11-29,30072105,13:30,Year 7: 7TL
2023-11-29,31247005,14:00,Science: Year 7: 7a/ScI
2023-11-30,30071925,08:40,Year 7: 7TL
2023-11-30,31334916,09:00,Religious Ed: Year 7: 7a/RER
2023-11-30,31239116,09:55,Maths: Year 7: 7a/MaI
2023-11-30,31240818,11:10,English Comb: Year 7: 7a/EnI
2023-11-30,31243440,12:05,Science: Year 7: 7a/ScI
2023-11-30,30081299,13:30,Year 7: 7TL
2023-11-30,31319638,14:00,PE Core: Year 7: 7a/PEY
2023-12-01,30078643,08:40,Year 7: 7TL
2023-12-01,31342924,09:00,Geography: Year 7: 7a/GeR
2023-12-01,31247258,09:55,English Comb: Year 7: 7a/EnI
2023-12-01,31335952,11:10,Religious Ed: Year 7: 7a/RER
2023-12-01,31239576,12:05,Science: Year 7: 7a/ScI
2023-12-01,30082770,13:30,Year 7: 7TL
2023-12-01,31319278,14:00,PE Core: Year 7: 7a/PEY
2023-12-04,29956910,08:40,Year 7: 7TL
2023-12-04,31334356,09:00,Drama: Year 7: 7a/DrR
2023-12-04,31336932,09:55,Computer Science: Year 7: 7a/CsR
2023-12-04,31240795,11:10,Spanish: Year 7: 7a/SpI
2023-12-04,31244383,12:05,Maths: Year 7: 7a/MaI
2023-12-04,29959681,13:30,Year 7: 7TL
2023-12-04,31245257,14:00,Design Tech: Year 7: 7a/DTI
2023-12-05,29986214,08:40,Year 7: 7TL
2023-12-05,31247787,09:00,Spanish: Year 7: 7a/SpI
2023-12-05,31320038,09:55,PE Core: Year 7: 7a/PEY
2023-12-05,31237805,11:10,English Comb: Year 7: 7a/EnI
2023-12-05,31338136,12:05,Religious Ed: Year 7: 7a/RER
2023-12-05,29979026,13:30,Year 7: 7TL
2023-12-05,31242221,14:00,Maths: Year 7: 7a/MaI
2023-12-06,30070682,08:40,Year 7: 7TL
2023-12-06,31340572,09:00,Geography: Year 7: 7a/GeR
2023-12-06,31245671,09:55,English Comb: Year 7: 7a/EnI
2023-12-06,31343456,11:10,Religious Ed: Year 7: 7a/RER
2023-12-06,31344548,12:05,History: Year 7: 7a/HiR
2023-12-06,30083988,13:30,Year 7: 7TL
2023-12-06,31238702,14:00,Science: Year 7: 7a/ScI
2023-12-07,30084405,08:40,Year 7: 7TL
2023-12-07,31240519,09:00,Spanish: Year 7: 7a/SpI
2023-12-07,31339116,09:55,Music: Year 7: 7a/MuR
2023-12-07,31340684,11:10,History: Year 7: 7a/HiR
2023-12-07,31342392,12:05,Art and Design: Year 7: 7a/ArR
2023-12-07,30092197,13:30,Year 7: 7TL
2023-12-07,31248339,14:00,English Comb: Year 7: 7a/EnI
2023-12-08,30089353,08:40,Year 7: 7TL
2023-12-08,31335168,09:00,Religious Ed: Year 7: 7a/RER
2023-12-08,31337492,09:55,History: Year 7: 7a/HiR
2023-12-08,31241761,11:10,Maths: Year 7: 7a/MaI
2023-12-08,31243946,12:05,Design Tech: Year 7: 7a/DTI
2023-12-08,30092386,13:30,Year 7: 7TL
2023-12-08,31340376,14:00,Geography: Year 7: 7a/GeR
2023-12-11,29970003,08:40,Year 7: 7TL
2023-12-11,31246177,09:00,English Comb: Year 7: 7a/EnI
2023-12-11,31248799,09:55,Science: Year 7: 7a/ScI
2023-12-11,31336484,11:10,Art and Design: Year 7: 7a/ArR
2023-12-11,31338332,12:05,Computer Science: Year 7: 7a/CsR
2023-12-11,29970743,13:30,Year 7: 7TL
2023-12-11,31242681,14:00,Maths: Year 7: 7a/MaI
2023-12-12,30071833,08:40,Year 7: 7TL
2023-12-12,29860086,09:00,Year 7: 7TL
2023-12-12,31244843,09:55,Maths: Year 7: 7a/MaI
2023-12-12,31246522,11:10,Spanish: Year 7: 7a/SpI
2023-12-12,31344016,12:05,Music: Year 7: 7a/MuR
2023-12-12,29991577,13:30,Year 7: 7TL
2023-12-12,31238127,14:00,English Comb: Year 7: 7a/EnI
